
Epoch 1 -----------------------------------------
step 1 --------------------------------- loss=0.05899854749441147
step 2 --------------------------------- loss=0.058294087648391724
step 3 --------------------------------- loss=0.05642880126833916
step 4 --------------------------------- loss=0.05316552147269249
step 5 --------------------------------- loss=0.0492917075753212
step 6 --------------------------------- loss=0.045786648988723755
step 7 --------------------------------- loss=0.044622063636779785
step 8 --------------------------------- loss=0.043759990483522415
step 9 --------------------------------- loss=0.04266519099473953
step 10 --------------------------------- loss=0.04441041499376297
step 11 --------------------------------- loss=0.044805318117141724
step 12 --------------------------------- loss=0.044362153857946396
step 13 --------------------------------- loss=0.046256475150585175
step 14 --------------------------------- loss=0.04310699924826622
step 15 --------------------------------- loss=0.044468898326158524
step 16 --------------------------------- loss=0.04331797733902931
step 17 --------------------------------- loss=0.043956056237220764
step 18 --------------------------------- loss=0.04390747845172882
step 19 --------------------------------- loss=0.042875465005636215
step 20 --------------------------------- loss=0.04230448231101036
step 21 --------------------------------- loss=0.042273785918951035
step 22 --------------------------------- loss=0.044331204146146774
step 23 --------------------------------- loss=0.04160405695438385
step 24 --------------------------------- loss=0.04248150438070297
step 25 --------------------------------- loss=0.03979642316699028
step 26 --------------------------------- loss=0.04118546098470688
step 27 --------------------------------- loss=0.04008616507053375
step 28 --------------------------------- loss=0.041464585810899734
step 29 --------------------------------- loss=0.041441209614276886
step 30 --------------------------------- loss=0.04095824435353279
step 31 --------------------------------- loss=0.040764424949884415
step 32 --------------------------------- loss=0.03990277275443077
step 33 --------------------------------- loss=0.04028821736574173
step 34 --------------------------------- loss=0.040087733417749405
step 35 --------------------------------- loss=0.03861136734485626
step 36 --------------------------------- loss=0.03910863399505615
step 37 --------------------------------- loss=0.041921451687812805
step 38 --------------------------------- loss=0.03986746817827225
step 39 --------------------------------- loss=0.03945983946323395
step 40 --------------------------------- loss=0.04019838571548462
step 41 --------------------------------- loss=0.04102695360779762
step 42 --------------------------------- loss=0.04255446419119835
step 43 --------------------------------- loss=0.04356127977371216
step 44 --------------------------------- loss=0.041609667241573334
step 45 --------------------------------- loss=0.04015635326504707
step 46 --------------------------------- loss=0.04276831075549126
step 47 --------------------------------- loss=0.06546402722597122
step 48 --------------------------------- loss=0.05457235500216484
step 49 --------------------------------- loss=0.051213741302490234
step 50 --------------------------------- loss=0.05040442943572998
step 51 --------------------------------- loss=0.04557778313755989
step 52 --------------------------------- loss=0.044947121292352676
step 53 --------------------------------- loss=0.04488157480955124
step 54 --------------------------------- loss=0.04223376139998436
Model weights saved.
C:\Users\equip\AppData\Local\Programs\Python\Python39\python.exe: Error while finding module specification for 'train.py' (ModuleNotFoundError: __path__ attribute not found on 'train' while trying to find 'train.py'). Try using 'train' instead of 'train.py' as the module name.
